"protein","clstr","name"
"WP_004181999.1",11945,"MULTISPECIES SMALL HEAT SHOCK PROTEIN SHSP20 BACTERIA"
"WP_235670678.1",11946,"MULTISPECIES HYPOTHETICAL PROTEIN PARTIAL BACTERIA"
"WP_214709800.1",11947,"MULTISPECIES DIHYDROFOLATE REDUCTASE FAMILY PROTEIN BACTERIA"
"WP_214708605.1",11948,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_011921633.1",11949,"MULTISPECIES AMINOACYLTRNA HYDROLASE BACTERIA"
"WP_016063665.1",11950,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002322960.1",11951,"MULTISPECIES CPBP FAMILY INTRAMEMBRANE METALLOPROTEASE BACTERIA"
"WP_107508659.1",11952,"MULTISPECIES THIOREDOXIN DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214704602.1",11953,"MULTISPECIES NICOTINATENUCLEOTIDE ADENYLYLTRANSFERASE BACTERIA"
"WP_002345136.1",11954,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214708702.1",11955,"MULTISPECIES MEDS DOMAINCONTAINING PROTEIN BACTERIA"
"WP_069821074.1",11956,"MULTISPECIES SIGMA70 FAMILY RNA POLYMERASE SIGMA FACTOR BACTERIA"
"WP_001256126.1",11957,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_075912586.1",11958,"MULTISPECIES ANTIREPRESSOR PROTEIN BACTERIA"
"WP_021727495.1",11959,"MULTISPECIES RIBBONHELIXHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_162547910.1",11960,"MULTISPECIES PEPTIDYLPROLYL ISOMERASE BACTERIA"
"WP_125413095.1",11961,"MULTISPECIES CYTH DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214722662.1",11962,"MULTISPECIES CYSTEINE HYDROLASE BACTERIA"
"WP_000443757.1",11963,"MULTISPECIES GNAT FAMILY NACETYLTRANSFERASE BACTERIA"
"WP_214727294.1",11964,"MULTISPECIES DUF1273 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_207974529.1",11965,"MULTISPECIES FASCICLIN DOMAINCONTAINING PROTEIN BACTERIA"
"WP_086311742.1",11966,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_006680992.1",11967,"MULTISPECIES BIFUNCTIONAL PYR OPERON TRANSCRIPTIONAL REGULATORURACIL PHOSPHORIBOSYLTRANSFERASE PYRR BACTERIA"
"WP_007837585.1",11968,"MULTISPECIES DUF4738 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_007522140.1",11969,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_152605745.1",11970,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_159333583.1",11971,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214704707.1",11972,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214709023.1",11973,"MULTISPECIES FADDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_214722650.1",11974,"MULTISPECIES COMPETENCE PROTEIN COMK BACTERIA"
"WP_000832338.1",11975,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_062675756.1",11976,"MULTISPECIES BIOPOLYMER TRANSPORTER EXBD BACTERIA"
"WP_214727428.1",11977,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_003127888.1",11978,"MULTISPECIES HELIXTURNHELIX TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_204407399.1",11979,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_214726821.1",11980,"MULTISPECIES DUF4256 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_036849918.1",11981,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_028403935.1",11982,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_001185187.1",11983,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_166690027.1",11984,"MULTISPECIES PROQFINO FAMILY PROTEIN BACTERIA"
"WP_002385314.1",11985,"MULTISPECIES LEMA FAMILY PROTEIN BACTERIA"
"WP_031421013.1",11986,"MULTISPECIES TLPA FAMILY PROTEIN DISULFIDE REDUCTASE BACTERIA"
"WP_012726577.1",11987,"MULTISPECIES ELONGATION FACTOR P BACTERIA"
"WP_214727630.1",11988,"MULTISPECIES BIS5NUCLEOSYLTETRAPHOSPHATASE SYMMETRICAL YQEK BACTERIA"
"WP_163874243.1",11989,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_011117172.1",11990,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_163876640.1",11991,"MULTISPECIES RNA POLYMERASE SIGMA70 FACTOR BACTERIA"
"WP_024630484.1",11992,"MULTISPECIES PADR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_005681510.1",11993,"MULTISPECIES DUF2284 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_144725434.1",11994,"MULTISPECIES FXSA FAMILY PROTEIN BACTERIA"
"WP_214726610.1",11995,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_047369710.1",11996,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_032445228.1",11997,"MULTISPECIES TYPE IV CONJUGATIVE TRANSFER SYSTEM PROTEIN TRAE BACTERIA"
"WP_118719624.1",11998,"MULTISPECIES UMA2 FAMILY ENDONUCLEASE BACTERIA"
"WP_214705986.1",11999,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_017692117.1",12000,"MULTISPECIES RNA POLYMERASE SIGMA FACTOR SIGW BACTERIA"
"WP_174795615.1",12001,"MULTISPECIES NIFU FAMILY PROTEIN BACTERIA"
"WP_053918236.1",12002,"MULTISPECIES DOXX FAMILY MEMBRANE PROTEIN BACTERIA"
"WP_000882069.1",12003,"MULTISPECIES UVRBUVRC MOTIFCONTAINING PROTEIN BACTERIA"
"WP_001296134.1",12004,"MULTISPECIES MANGANESE EFFLUX PUMP MNTP BACTERIA"
"WP_214726874.1",12005,"MULTISPECIES SIGMA70 FAMILY RNA POLYMERASE SIGMA FACTOR BACTERIA"
"WP_056442956.1",12006,"MULTISPECIES MERR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_016627840.1",12007,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_036851120.1",12008,"MULTISPECIES DUF1071 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214724194.1",12009,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_149876675.1",12010,"MULTISPECIES RIBONUCLEOTIDEDIPHOSPHATE REDUCTASE SUBUNIT ALPHA BACTERIA"
"WP_214726841.1",12011,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_131621803.1",12012,"MULTISPECIES ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C BACTERIA"
"WP_197964366.1",12013,"MULTISPECIES ABI FAMILY PROTEIN BACTERIA"
"WP_085362633.1",12014,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_022879227.1",12015,"MULTISPECIES SIS DOMAINCONTAINING PROTEIN BACTERIA"
"WP_232046363.1",12016,"MULTISPECIES DUF3347 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_009307010.1",12017,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_004293571.1",12018,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_001708452.1",12019,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_007840384.1",12020,"MULTISPECIES FLAVODOXIN BACTERIA"
"WP_004007622.1",12021,"MULTISPECIES CLBSDFSB FAMILY FOURHELIX BUNDLE PROTEIN BACTERIA"
"WP_043609652.1",12022,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_162150129.1",12023,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_003151227.1",12024,"MULTISPECIES ISOCHORISMATASE FAMILY PROTEIN BACTERIA"
"WP_012822825.1",12025,"MULTISPECIES FRUCTOSE1PHOSPHATE6PHOSPHOGLUCONATE PHOSPHATASE BACTERIA"
"WP_100966731.1",12026,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_015881392.1",12027,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142430916.1",12028,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_006681835.1",12029,"MULTISPECIES PPA1309 FAMILY PROTEIN BACTERIA"
"WP_007494209.1",12030,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214726954.1",12031,"MULTISPECIES DUF1641 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_163871203.1",12032,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_139981241.1",12033,"MULTISPECIES DCTP DEAMINASE BACTERIA"
"WP_017057413.1",12034,"MULTISPECIES DUF1415 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_094380541.1",12035,"MULTISPECIES 6CARBOXYTETRAHYDROPTERIN SYNTHASE BACTERIA"
"WP_214704746.1",12036,"MULTISPECIES CLASS D SORTASE BACTERIA"
"WP_144724250.1",12037,"MULTISPECIES ALPHABETA FOLD HYDROLASE BACTERIA"
"WP_002360874.1",12038,"MULTISPECIES ALKALINE SHOCK RESPONSE MEMBRANE ANCHOR PROTEIN AMAP BACTERIA"
"WP_032838563.1",12039,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_060552916.1",12040,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214705176.1",12041,"MULTISPECIES VTT DOMAINCONTAINING PROTEIN BACTERIA"
"WP_004318675.1",12042,"MULTISPECIES DUF3575 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214725704.1",12043,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_001832666.1",12044,"MULTISPECIES MULTIDRUGBINDING TRANSCRIPTIONAL REGULATOR QACR BACTERIA"
"WP_015983596.1",12045,"MULTISPECIES DNA POLYMERASE CLAMP LOADER SUBUNIT A BACTERIA"
"WP_172284750.1",12046,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_004247666.1",12047,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_163871623.1",12048,"MULTISPECIES AAA FAMILY ATPASE BACTERIA"
"WP_214705757.1",12049,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_107546704.1",12050,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_015059007.1",12051,"MULTISPECIES CLASS I SAMDEPENDENT METHYLTRANSFERASE BACTERIA"
"WP_066299071.1",12052,"MULTISPECIES THIOREDOXIN FAMILY PROTEIN BACTERIA"
"WP_214727620.1",12053,"MULTISPECIES COME OPERON PROTEIN 2 BACTERIA"
"WP_214725229.1",12054,"MULTISPECIES HADIA FAMILY HYDROLASE BACTERIA"
"WP_214690351.1",12055,"MULTISPECIES NADPHDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_002369824.1",12056,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_029602859.1",12057,"MULTISPECIES TOXIN YDAT FAMILY PROTEIN BACTERIA"
"WP_020277892.1",12058,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_012552730.1",12059,"MULTISPECIES REPLICATIONMAINTENANCE PROTEIN REPL BACTERIA"
"WP_037032278.1",12060,"MULTISPECIES IS630 FAMILY TRANSPOSASE BACTERIA"
"WP_214722595.1",12061,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_047795354.1",12062,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_175827536.1",12063,"MULTISPECIES ECF TRANSPORTER S COMPONENT BACTERIA"
"WP_218569157.1",12064,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_105625332.1",12065,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002311819.1",12066,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_177952430.1",12067,"MULTISPECIES ABC TRANSPORTER ATPBINDING PROTEIN BACTERIA"
"WP_131623345.1",12068,"MULTISPECIES ELONGATION FACTOR P BACTERIA"
"WP_165031224.1",12069,"MULTISPECIES COMF FAMILY PROTEIN BACTERIA"
"WP_130096103.1",12070,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_142431747.1",12071,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002294754.1",12072,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_002078386.1",12073,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_002467334.1",12074,"MULTISPECIES TMEM175 FAMILY PROTEIN BACTERIA"
"WP_039360051.1",12075,"MULTISPECIES DGLYCEROBETADMANNOHEPTOSE 17BISPHOSPHATE 7PHOSPHATASE BACTERIA"
"WP_214726977.1",12076,"MULTISPECIES THIAMINE PYROPHOSPHATEDEPENDENT ENZYME BACTERIA"
"WP_044864691.1",12077,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_001515734.1",12078,"MULTISPECIES TRANSPOSASE BACTERIA"
"WP_214722681.1",12079,"MULTISPECIES CYSTEINE HYDROLASE BACTERIA"
"WP_103631928.1",12080,"MULTISPECIES F0F1 ATP SYNTHASE SUBUNIT B BACTERIA"
"WP_001097412.1",12081,"MULTISPECIES CHLORITE DISMUTASE FAMILY PROTEIN BACTERIA"
"WP_163876235.1",12082,"MULTISPECIES BILIVERDINPRODUCING HEME OXYGENASE BACTERIA"
"WP_042321763.1",12083,"MULTISPECIES RESTRICTION ENDONUCLEASE PVUII BACTERIA"
"WP_000045614.1",12084,"MULTISPECIES ALKALINE SHOCK RESPONSE MEMBRANE ANCHOR PROTEIN AMAP BACTERIA"
"WP_214726181.1",12085,"MULTISPECIES DUF2777 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_003876575.1",12086,"MULTISPECIES CHORISMATE MUTASE BACTERIA"
"WP_021718382.1",12087,"MULTISPECIES RIBOSOME RECYCLING FACTOR BACTERIA"
"WP_215975318.1",12088,"MULTISPECIES CRPFNR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_142958005.1",12089,"MULTISPECIES ANKYRIN REPEAT DOMAINCONTAINING PROTEIN BACTERIA"
"WP_026095931.1",12090,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_163873321.1",12091,"MULTISPECIES CROSSOVER JUNCTION ENDODEOXYRIBONUCLEASE RUVC BACTERIA"
"WP_096379589.1",12092,"MULTISPECIES LPS EXPORT ABC TRANSPORTER PERIPLASMIC PROTEIN LPTC BACTERIA"
"WP_002325125.1",12093,"MULTISPECIES NUDIX HYDROLASE BACTERIA"
"WP_214705223.1",12094,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_006680577.1",12095,"MULTISPECIES RPIBLACALACB FAMILY SUGARPHOSPHATE ISOMERASE BACTERIA"
"WP_214724057.1",12096,"MULTISPECIES SUPEROXIDE DISMUTASE FAMILY PROTEIN BACTERIA"
"WP_001042720.1",12097,"MULTISPECIES ECF TRANSPORTER S COMPONENT BACTERIA"
"WP_214706400.1",12098,"MULTISPECIES FADDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_214728607.1",12099,"MULTISPECIES GROUPSPECIFIC PROTEIN BACTERIA"
"WP_008647860.1",12100,"MULTISPECIES FADDEPENDENT THYMIDYLATE SYNTHASE BACTERIA"
"WP_159122236.1",12101,"MULTISPECIES DUF3850 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214727323.1",12102,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_038123089.1",12103,"MULTISPECIES GTP CYCLOHYDROLASE I BACTERIA"
"WP_010823522.1",12104,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214722462.1",12105,"MULTISPECIES BIOTIN TRANSPORTER BIOY BACTERIA"
"WP_149876678.1",12106,"MULTISPECIES FLAVIN REDUCTASE BACTERIA"
"WP_042721880.1",12107,"MULTISPECIES SCO FAMILY PROTEIN BACTERIA"
"WP_154427040.1",12108,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_130083407.1",12109,"MULTISPECIES NADHQUINONE OXIDOREDUCTASE SUBUNIT I BACTERIA"
"WP_070811706.1",12110,"MULTISPECIES PHAGE SCAFFOLDING PROTEIN BACTERIA"
"WP_024024776.1",12111,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002302649.1",12112,"MULTISPECIES TETRACRR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_118719898.1",12113,"MULTISPECIES SIGMA70 FAMILY RNA POLYMERASE SIGMA FACTOR BACTERIA"
"WP_114488335.1",12114,"MULTISPECIES 35 EXORIBONUCLEASE BACTERIA"
"WP_079941804.1",12115,"MULTISPECIES RECOMBINASE FAMILY PROTEIN BACTERIA"
"WP_004220170.1",12116,"MULTISPECIES SIGNAL PEPTIDASE I BACTERIA"
"WP_021975320.1",12117,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_163872082.1",12118,"MULTISPECIES SMCSCP COMPLEX SUBUNIT SCPB BACTERIA"
"WP_103631676.1",12119,"MULTISPECIES TRNA ADENOSINE37N6THREONYLCARBAMOYLTRANSFERASE COMPLEX ATPASE SUBUNIT TYPE 1 TSAE BACTERIA"
"WP_077019770.1",12120,"MULTISPECIES SINGLESTRANDED DNABINDING PROTEIN BACTERIA"
"WP_050267878.1",12121,"MULTISPECIES MERR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_214707113.1",12122,"MULTISPECIES AAA FAMILY ATPASE BACTERIA"
"WP_214709506.1",12123,"MULTISPECIES GNAT FAMILY NACETYLTRANSFERASE BACTERIA"
"WP_142427851.1",12124,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_001077893.1",12125,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_024629295.1",12126,"MULTISPECIES FLAVIN REDUCTASE FAMILY PROTEIN BACTERIA"
"WP_079349268.1",12127,"MULTISPECIES OUTER SPORE COAT PROTEIN COTE BACTERIA"
"WP_003576835.1",12128,"MULTISPECIES CYSTEINE HYDROLASE BACTERIA"
"WP_000046067.1",12129,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_006681125.1",12130,"MULTISPECIES HIT DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214704844.1",12131,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214728987.1",12132,"MULTISPECIES GNAT FAMILY NACETYLTRANSFERASE BACTERIA"
"WP_055219002.1",12133,"MULTISPECIES DUF1788 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_151854170.1",12134,"MULTISPECIES MBEB FAMILY MOBILIZATION PROTEIN BACTERIA"
"WP_177952494.1",12135,"MULTISPECIES DUF1642 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_110065303.1",12136,"MULTISPECIES 4FE4S DICLUSTER DOMAINCONTAINING PROTEIN BACTERIA"
"WP_128705479.1",12137,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_075109430.1",12138,"MULTISPECIES TIGR00730 FAMILY ROSSMAN FOLD PROTEIN BACTERIA"
"WP_214708709.1",12139,"MULTISPECIES GLYCEROL3PHOSPHATE ACYLTRANSFERASE BACTERIA"
"WP_204358188.1",12140,"MULTISPECIES HYPOTHETICAL PROTEIN PARTIAL BACTERIA"
"WP_214705076.1",12141,"MULTISPECIES GNAT FAMILY NACETYLTRANSFERASE BACTERIA"
"WP_024632729.1",12142,"MULTISPECIES MANGANESE EFFLUX PUMP MNTP FAMILY PROTEIN BACTERIA"
"WP_072759981.1",12143,"MULTISPECIES TRANSCRIPTION TERMINATIONANTITERMINATION PROTEIN NUSG BACTERIA"
"WP_214704577.1",12144,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_181237573.1",12145,"MULTISPECIES TYROSINETYPE RECOMBINASEINTEGRASE BACTERIA"
"WP_214705811.1",12146,"MULTISPECIES METHYLTRANSFERASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214706897.1",12147,"MULTISPECIES CYSTEINE DIOXYGENASE FAMILY PROTEIN BACTERIA"
"WP_214706910.1",12148,"MULTISPECIES SUGAR OACETYLTRANSFERASE BACTERIA"
"WP_162548170.1",12149,"MULTISPECIES 16S RRNA GUANINE966N2METHYLTRANSFERASE RSMD BACTERIA"
"WP_142422295.1",12150,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_022461328.1",12151,"MULTISPECIES BIOTIN TRANSPORTER BIOY BACTERIA"
"WP_230554499.1",12152,"MULTISPECIES AUTOTRANSPORTER OUTER MEMBRANE BETABARREL DOMAINCONTAINING PROTEIN BACTERIA"
"WP_000105967.1",12153,"MULTISPECIES WINGED HELIXTURNHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_154398324.1",12154,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142957997.1",12155,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_194271336.1",12156,"MULTISPECIES DUF2857 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142667674.1",12157,"MULTISPECIES HK97 FAMILY PHAGE PROHEAD PROTEASE BACTERIA"
"WP_054287367.1",12158,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_079348208.1",12159,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214704613.1",12160,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214725562.1",12161,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_016054096.1",12162,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142430918.1",12163,"MULTISPECIES TYROSINETYPE RECOMBINASEINTEGRASE BACTERIA"
"WP_010714134.1",12164,"MULTISPECIES DART SSDNA THYMIDINE ADPRIBOSYLTRANSFERASE FAMILY PROTEIN BACTERIA"
"WP_214705195.1",12165,"MULTISPECIES RNA POLYMERASE SIGMA FACTOR BACTERIA"
"WP_003585919.1",12166,"MULTISPECIES HELIXTURNHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_086311953.1",12167,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_004279226.1",12168,"MULTISPECIES YCED FAMILY PROTEIN BACTERIA"
"WP_131622985.1",12169,"MULTISPECIES OSTA FAMILY PROTEIN BACTERIA"
"WP_002358242.1",12170,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_155160393.1",12171,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_016063672.1",12172,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_032445241.1",12173,"MULTISPECIES TYPEF CONJUGATIVE TRANSFER SYSTEM PILIN ASSEMBLY THIOLDISULFIDE ISOMERASE TRBB BACTERIA"
"WP_163875426.1",12174,"MULTISPECIES BIOPOLYMER TRANSPORTER EXBD BACTERIA"
"WP_010257437.1",12175,"MULTISPECIES DUF228 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214724049.1",12176,"MULTISPECIES DUF5366 FAMILY PROTEIN BACTERIA"
"WP_211355408.1",12177,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_001138409.1",12178,"MULTISPECIES 4FE4S DICLUSTER DOMAINCONTAINING PROTEIN BACTERIA"
"WP_013136949.1",12179,"MULTISPECIES AMINOGLYCOSIDE 6NACETYLTRANSFERASE AAC6IA BACTERIA"
"WP_009328837.1",12180,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_149874256.1",12181,"MULTISPECIES DUF4840 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_117071977.1",12182,"MULTISPECIES REPLICATIONMAINTENANCE PROTEIN REPL BACTERIA"
"WP_002518867.1",12183,"MULTISPECIES DUF4865 FAMILY PROTEIN BACTERIA"
"WP_214725404.1",12184,"MULTISPECIES COTO FAMILY SPORE COAT PROTEIN BACTERIA"
"WP_214705552.1",12185,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_048558832.1",12186,"MULTISPECIES REPLICATIONMAINTENANCE PROTEIN REPL BACTERIA"
"WP_000872158.1",12187,"MULTISPECIES DUF177 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_096397621.1",12188,"MULTISPECIES MATRIXIN FAMILY METALLOPROTEASE BACTERIA"
"WP_070888883.1",12189,"MULTISPECIES CONJUGAL TRANSFER PROTEIN BACTERIA"
"WP_214727193.1",12190,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_119844724.1",12191,"MULTISPECIES 3OXOACYLACP SYNTHASE BACTERIA"
"WP_006681122.1",12192,"MULTISPECIES NUDIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_001245296.1",12193,"MULTISPECIES PHAGE SENSITIVITY PROTEIN DCRB BACTERIA"
"WP_009277448.1",12194,"MULTISPECIES MERR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_015969226.1",12195,"MULTISPECIES RNA POLYMERASE SIGMA FACTOR BACTERIA"
"WP_022333014.1",12196,"MULTISPECIES UPXY FAMILY TRANSCRIPTION ANTITERMINATOR BACTERIA"
"WP_059762235.1",12197,"MULTISPECIES MECHANOSENSITIVE ION CHANNEL FAMILY PROTEIN BACTERIA"
"WP_142958015.1",12198,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_137439006.1",12199,"MULTISPECIES SIS DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214723076.1",12200,"MULTISPECIES YQFQ FAMILY PROTEIN BACTERIA"
"WP_214706326.1",12201,"MULTISPECIES HELIXTURNHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_015880910.1",12202,"MULTISPECIES DUF5366 FAMILY PROTEIN BACTERIA"
"WP_210611180.1",12203,"MULTISPECIES LDTRANSPEPTIDASE BACTERIA"
"WP_214706731.1",12204,"MULTISPECIES THIOREDOXIN FAMILY PROTEIN BACTERIA"
"WP_142425207.1",12205,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_103632824.1",12206,"MULTISPECIES PHOSPHORIBOSYLTRANSFERASE BACTERIA"
"WP_005816230.1",12207,"MULTISPECIES DUF4411 FAMILY PROTEIN BACTERIA"
"WP_130054257.1",12208,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_001345478.1",12209,"MULTISPECIES LYSOZYME BACTERIA"
"WP_033644473.1",12210,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_015880774.1",12211,"MULTISPECIES GNAT FAMILY NACETYLTRANSFERASE BACTERIA"
"WP_049488686.1",12212,"MULTISPECIES DUF1307 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_002503468.1",12213,"MULTISPECIES HK97 FAMILY PHAGE PROHEAD PROTEASE BACTERIA"
"WP_214725113.1",12214,"MULTISPECIES BOFC CTERMINAL DOMAINCONTAINING PROTEIN BACTERIA"
